"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"echo-presentation","98","613763","0.0-98.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","10","2244"
"echo-presentation","99","616342","0.0-99.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","20","1443"
"echo-presentation","100","619652","0.0-100.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","-10","1927"
"echo-presentation","101","627012","0.0-101.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","0","6303"
"echo-presentation","102","629542","0.0-102.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","-20","1312"
"echo-presentation","103","633584","0.0-103.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a10.wav","spherical","20","10","half","matched","10","-10","3209"
"echo-presentation","104","637672","0.0-104.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a0.wav","spherical","20","10","half","matched","0","10","2511"
"echo-presentation","105","643142","0.0-105.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-10.wav","spherical","20","10","half","matched","-10","0","4093"
"echo-presentation","106","646222","0.0-106.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","20","1275"
"echo-presentation","107","649152","0.0-107.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a20.wav","spherical","20","10","half","matched","20","20","1972"
"echo-presentation","108","651932","0.0-108.0","5ef618993fecc70b5984e05c","60242478c74f84097a222710","602426852b1c7209134d9540","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-20.wav","spherical","20","10","half","matched","-20","-10","1886"
