"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"echo-presentation","23","888549","0.0-23.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c1_cd-1_matched_a-40.wav","12","1","1","matched","-40","-35","2612"
"echo-presentation","24","892669","0.0-24.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c1_cd-1_matched_a-25.wav","12","1","1","matched","-25","-25","1980"
"echo-presentation","25","899478","0.0-25.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c1_cd-1_matched_a-30.wav","12","1","1","matched","-30","-35","3015"
"echo-presentation","26","905951","0.0-26.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c1_cd-1_matched_a-35.wav","12","1","1","matched","-35","-35","3191"
"echo-presentation","27","911551","0.0-27.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c1_cd-1_matched_a-35.wav","12","1","1","matched","-35","-30","2871"
"echo-presentation","28","917325","0.0-28.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c1_cd-1_matched_a-40.wav","12","1","1","matched","-40","-35","2816"
"echo-presentation","29","922850","0.0-29.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-40,-35,-30,-25,-20","media/audio/stims/spherical_300cm_s12_c1_cd-1_matched_a-20.wav","12","1","1","matched","-20","-30","3462"
"block-bookend","30","934734","0.0-30.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
"block-bookend","31","937553","0.0-31.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
"echo-presentation","32","942098","0.0-32.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s12_c12_cd-full_matched_a20.wav","12","12","full","matched","20","40","2228"
"echo-presentation","33","946148","0.0-33.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s12_c12_cd-full_matched_a40.wav","12","12","full","matched","40","40","1678"
