"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"echo-presentation","52","622699","0.0-52.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-70.wav","spherical","20","10","half","matched","-70","-80","1096"
"echo-presentation","53","624146","0.0-53.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-50.wav","spherical","20","10","half","matched","-50","-70","606"
"echo-presentation","54","625378","0.0-54.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-60.wav","spherical","20","10","half","matched","-60","-60","655"
"echo-presentation","55","627322","0.0-55.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-40.wav","spherical","20","10","half","matched","-40","-70","816"
"echo-presentation","56","629018","0.0-56.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-70.wav","spherical","20","10","half","matched","-70","-60","823"
"echo-presentation","57","630602","0.0-57.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-80.wav","spherical","20","10","half","matched","-80","-80","800"
"echo-presentation","58","632081","0.0-58.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-50.wav","spherical","20","10","half","matched","-50","-60","687"
"echo-presentation","59","633769","0.0-59.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-70.wav","spherical","20","10","half","matched","-70","-80","752"
"echo-presentation","60","635390","0.0-60.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-80.wav","spherical","20","10","half","matched","-80","-60","728"
"echo-presentation","61","636962","0.0-61.0","5c9536793ae6fe0015ad8f0b","60242478c74f84097a222710","60242620be52460970dfba39","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0","v1-up-stims","","","","","","","","-80,-70,-60,-50,-40","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-50.wav","spherical","20","10","half","matched","-50","-50","648"
