"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset"
"pavlovia","0","2","0.0-0.0","5f578563765fec223eb51594","5fef55e628823a0076ec12ee","602014e5f679b45d192ecbeb","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","",""
"html-keyboard-response","1","3939","0.0-1.0","5f578563765fec223eb51594","5fef55e628823a0076ec12ee","602014e5f679b45d192ecbeb","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","3934.784999997646","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","72",""
"consent-form","2","162505","0.0-2.0","5f578563765fec223eb51594","5fef55e628823a0076ec12ee","602014e5f679b45d192ecbeb","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","",""
"keyset-select","3","197919","0.0-3.0","5f578563765fec223eb51594","5fef55e628823a0076ec12ee","602014e5f679b45d192ecbeb","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36","v1-up-stims","","","","left-hand"
